"path;""id"";""parent_id"";""level"";""object_id"";""object_type"";""object_key"";""query_status"";""query_time"";""query_type"";""text""",,,
"Rudawkurdish/1509879362056859651;""21706"";""21685"";""1"";""1509879362056859651"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.003404"";""Twitter:/search/tweets"";""@Rudawkurdish پشتگیریتان ئەکەین.""",,,
"Rudawkurdish/1509878482729324557;""21707"";""21685"";""1"";""1509878482729324557"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.003404"";""Twitter:/search/tweets"";""@itssssbp @salar977 @Rudawkurdish Dawara da3shi w weeb mnali esta chiyan lehatya?""",,,
"Rudawkurdish/1509875612130975755;""21708"";""21685"";""1"";""1509875612130975755"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.003404"";""Twitter:/search/tweets"";""@AazSky @Rudawkurdish ڕەمەزان: مانگی بۆنی بۆگەن 🤣""",,,
"Rudawkurdish/1509871624367099938;""21709"";""21685"";""1"";""1509871624367099938"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.003404"";""Twitter:/search/tweets"";""لە مانگی رەمەزان بەرنامەی خەملا وڵات پێشکێش دەکرێت و لە شارەکانی کوردستانەوە بە کولتوورە جیاوازەکان ئاشناتان دەکات… https://t.co/vNoEbmoPIV""",,,
"Rudawkurdish/1509869567195205679;""21710"";""21685"";""1"";""1509869567195205679"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.003404"";""Twitter:/search/tweets"";""@Rudawkurdish ريفراندوم 😂😂😂😂""",,,
"Rudawkurdish/1509868667374391304;""21711"";""21685"";""1"";""1509868667374391304"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.003404"";""Twitter:/search/tweets"";""ئەوانەی لە سەیرانن ئەم پەیامەی دکتۆر ئاراس ببینن، بزانن چیتان پێدەڵێت https://t.co/xaD9TYGrid""",,,
"Rudawkurdish/1509863746960871446;""21712"";""21685"";""1"";""1509863746960871446"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.003404"";""Twitter:/search/tweets"";""@Rudawkurdish كلما طال الحرب يزداد الخسائر والماساء""",,,
"Rudawkurdish/1509863289739747329;""21713"";""21685"";""1"";""1509863289739747329"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.003404"";""Twitter:/search/tweets"";""@shoaibkurdi45 @salar977 @Rudawkurdish Dastman xosh bet""",,,
"Rudawkurdish/1509850297425969152;""21714"";""21685"";""1"";""1509850297425969152"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.003404"";""Twitter:/search/tweets"";""ئامادەکارییت بۆ مانگی رەمەزان کردووە؟ https://t.co/E6lXgqnhAK""",,,
"Rudawkurdish/1509837976859197444;""21715"";""21685"";""1"";""1509837976859197444"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.003404"";""Twitter:/search/tweets"";""هەرێمی کوردستان لە ستراتیژیی ئەمریکیدا https://t.co/ScrlIdroE4""",,,
